"condition","category","human","modelname","modelresponse","experiment"
"1","new",0.59873417721519,"CRP",0.769963329854412,"Expt 1"
"11","new",0.665126582278481,"CRP",0.625967784979353,"Expt 1"
"111","new",0.742974683544304,"CRP",0.527345653541528,"Expt 1"
"1111","new",0.761455696202532,"CRP",0.455569948168898,"Expt 1"
"11111","new",0.754430379746835,"CRP",0.40099193339797,"Expt 1"
"111111","new",0.779683544303797,"CRP",0.35809194113318,"Expt 1"
"2","new",0.329050632911392,"CRP",0.625967784979353,"Expt 1"
"21","new",0.464746835443038,"CRP",0.527345653541528,"Expt 1"
"211","new",0.547848101265823,"CRP",0.455569948168898,"Expt 1"
"2111","new",0.607215189873418,"CRP",0.40099193339797,"Expt 1"
"21111","new",0.643670886075949,"CRP",0.35809194113318,"Expt 1"
"22","new",0.374367088607595,"CRP",0.455569948168898,"Expt 1"
"221","new",0.419303797468354,"CRP",0.40099193339797,"Expt 1"
"2211","new",0.486898734177215,"CRP",0.35809194113318,"Expt 1"
"222","new",0.357151898734177,"CRP",0.35809194113318,"Expt 1"
"3","new",0.182784810126582,"CRP",0.527345653541528,"Expt 1"
"31","new",0.379113924050633,"CRP",0.455569948168898,"Expt 1"
"311","new",0.421012658227848,"CRP",0.40099193339797,"Expt 1"
"3111","new",0.504493670886076,"CRP",0.35809194113318,"Expt 1"
"32","new",0.323544303797468,"CRP",0.40099193339797,"Expt 1"
"321","new",0.396835443037975,"CRP",0.35809194113318,"Expt 1"
"33","new",0.272278481012658,"CRP",0.35809194113318,"Expt 1"
"4","new",0.154556962025316,"CRP",0.455569948168898,"Expt 1"
"41","new",0.295696202531646,"CRP",0.40099193339797,"Expt 1"
"411","new",0.375063291139241,"CRP",0.35809194113318,"Expt 1"
"42","new",0.274177215189873,"CRP",0.35809194113318,"Expt 1"
"5","new",0.129177215189873,"CRP",0.40099193339797,"Expt 1"
"51","new",0.258291139240506,"CRP",0.35809194113318,"Expt 1"
"6","new",0.108037974683544,"CRP",0.35809194113318,"Expt 1"
"1","new",0.59873417721519,"G-CRP",0.702129382596076,"Expt 1"
"11","new",0.665126582278481,"G-CRP",0.733387313235101,"Expt 1"
"111","new",0.742974683544304,"G-CRP",0.742398052935877,"Expt 1"
"1111","new",0.761455696202532,"G-CRP",0.74667881556819,"Expt 1"
"11111","new",0.754430379746835,"G-CRP",0.749179656188647,"Expt 1"
"111111","new",0.779683544303797,"G-CRP",0.750819630597734,"Expt 1"
"2","new",0.329050632911392,"G-CRP",0.314224683827532,"Expt 1"
"21","new",0.464746835443038,"G-CRP",0.472400625126243,"Expt 1"
"211","new",0.547848101265823,"G-CRP",0.547545805358682,"Expt 1"
"2111","new",0.607215189873418,"G-CRP",0.591445954770925,"Expt 1"
"21111","new",0.643670886075949,"G-CRP",0.620234323370768,"Expt 1"
"22","new",0.374367088607595,"G-CRP",0.348412795149174,"Expt 1"
"221","new",0.419303797468354,"G-CRP",0.433712253353204,"Expt 1"
"2211","new",0.486898734177215,"G-CRP",0.489649016143802,"Expt 1"
"222","new",0.357151898734177,"G-CRP",0.359063708916836,"Expt 1"
"3","new",0.182784810126582,"G-CRP",0.202403197316609,"Expt 1"
"31","new",0.379113924050633,"G-CRP",0.348412795149174,"Expt 1"
"311","new",0.421012658227848,"G-CRP",0.433712253353204,"Expt 1"
"3111","new",0.504493670886076,"G-CRP",0.489649016143802,"Expt 1"
"32","new",0.323544303797468,"G-CRP",0.275978551935483,"Expt 1"
"321","new",0.396835443037975,"G-CRP",0.359063708916836,"Expt 1"
"33","new",0.272278481012658,"G-CRP",0.22847840168987,"Expt 1"
"4","new",0.154556962025316,"G-CRP",0.149279784939667,"Expt 1"
"41","new",0.295696202531646,"G-CRP",0.275978551935483,"Expt 1"
"411","new",0.375063291139241,"G-CRP",0.359063708916836,"Expt 1"
"42","new",0.274177215189873,"G-CRP",0.22847840168987,"Expt 1"
"5","new",0.129177215189873,"G-CRP",0.118244850517761,"Expt 1"
"51","new",0.258291139240506,"G-CRP",0.22847840168987,"Expt 1"
"6","new",0.108037974683544,"G-CRP",0.097893094462904,"Expt 1"
"1","new",0.59873417721519,"H-CRP",0.727830271283685,"Expt 1"
"11","new",0.665126582278481,"H-CRP",0.752535775264784,"Expt 1"
"111","new",0.742974683544304,"H-CRP",0.735401841390323,"Expt 1"
"1111","new",0.761455696202532,"H-CRP",0.721919422573152,"Expt 1"
"11111","new",0.754430379746835,"H-CRP",0.716112018437863,"Expt 1"
"111111","new",0.779683544303797,"H-CRP",0.723825937547293,"Expt 1"
"2","new",0.329050632911392,"H-CRP",0.456681056009139,"Expt 1"
"21","new",0.464746835443038,"H-CRP",0.530178573806719,"Expt 1"
"211","new",0.547848101265823,"H-CRP",0.566571878084182,"Expt 1"
"2111","new",0.607215189873418,"H-CRP",0.593280905495516,"Expt 1"
"21111","new",0.643670886075949,"H-CRP",0.610857158793982,"Expt 1"
"22","new",0.374367088607595,"H-CRP",0.377253118704545,"Expt 1"
"221","new",0.419303797468354,"H-CRP",0.431852309258348,"Expt 1"
"2211","new",0.486898734177215,"H-CRP",0.466857746987419,"Expt 1"
"222","new",0.357151898734177,"H-CRP",0.330159576487506,"Expt 1"
"3","new",0.182784810126582,"H-CRP",0.273752655150992,"Expt 1"
"31","new",0.379113924050633,"H-CRP",0.372429545815302,"Expt 1"
"311","new",0.421012658227848,"H-CRP",0.432694265855175,"Expt 1"
"3111","new",0.504493670886076,"H-CRP",0.465471472103757,"Expt 1"
"32","new",0.323544303797468,"H-CRP",0.269922024046187,"Expt 1"
"321","new",0.396835443037975,"H-CRP",0.33449650579012,"Expt 1"
"33","new",0.272278481012658,"H-CRP",0.197754189594198,"Expt 1"
"4","new",0.154556962025316,"H-CRP",0.15967973788192,"Expt 1"
"41","new",0.295696202531646,"H-CRP",0.272055756241054,"Expt 1"
"411","new",0.375063291139241,"H-CRP",0.326207127763696,"Expt 1"
"42","new",0.274177215189873,"H-CRP",0.186935258186703,"Expt 1"
"5","new",0.129177215189873,"H-CRP",0.132515527441519,"Expt 1"
"51","new",0.258291139240506,"H-CRP",0.224018572298848,"Expt 1"
"6","new",0.108037974683544,"H-CRP",0.0725442894540815,"Expt 1"
"1","new",0.59873417721519,"HG-CRP",0.744186884293162,"Expt 1"
"11","new",0.665126582278481,"HG-CRP",0.765945138487206,"Expt 1"
"111","new",0.742974683544304,"HG-CRP",0.775651264767286,"Expt 1"
"1111","new",0.761455696202532,"HG-CRP",0.776855252806026,"Expt 1"
"11111","new",0.754430379746835,"HG-CRP",0.791805630877929,"Expt 1"
"111111","new",0.779683544303797,"HG-CRP",0.808998137485408,"Expt 1"
"2","new",0.329050632911392,"HG-CRP",0.356295665428369,"Expt 1"
"21","new",0.464746835443038,"HG-CRP",0.485514069784956,"Expt 1"
"211","new",0.547848101265823,"HG-CRP",0.544296713857477,"Expt 1"
"2111","new",0.607215189873418,"HG-CRP",0.596112822483062,"Expt 1"
"21111","new",0.643670886075949,"HG-CRP",0.628062745777234,"Expt 1"
"22","new",0.374367088607595,"HG-CRP",0.335738559921738,"Expt 1"
"221","new",0.419303797468354,"HG-CRP",0.414580842683092,"Expt 1"
"2211","new",0.486898734177215,"HG-CRP",0.471185796942802,"Expt 1"
"222","new",0.357151898734177,"HG-CRP",0.325579580001474,"Expt 1"
"3","new",0.182784810126582,"HG-CRP",0.234060485250963,"Expt 1"
"31","new",0.379113924050633,"HG-CRP",0.352466580475009,"Expt 1"
"311","new",0.421012658227848,"HG-CRP",0.431318552843841,"Expt 1"
"3111","new",0.504493670886076,"HG-CRP",0.490675106018763,"Expt 1"
"32","new",0.323544303797468,"HG-CRP",0.264678802077017,"Expt 1"
"321","new",0.396835443037975,"HG-CRP",0.335822887350072,"Expt 1"
"33","new",0.272278481012658,"HG-CRP",0.217703476942752,"Expt 1"
"4","new",0.154556962025316,"HG-CRP",0.172989744500439,"Expt 1"
"41","new",0.295696202531646,"HG-CRP",0.280086713270293,"Expt 1"
"411","new",0.375063291139241,"HG-CRP",0.361496180877732,"Expt 1"
"42","new",0.274177215189873,"HG-CRP",0.21996068000953,"Expt 1"
"5","new",0.129177215189873,"HG-CRP",0.138015980651497,"Expt 1"
"51","new",0.258291139240506,"HG-CRP",0.2358036979684,"Expt 1"
"6","new",0.108037974683544,"HG-CRP",0.11591262144185,"Expt 1"
"1","new",0.59873417721519,"TTR",0.7270597,"Expt 1"
"11","new",0.665126582278481,"TTR",0.7270597,"Expt 1"
"111","new",0.742974683544304,"TTR",0.7270597,"Expt 1"
"1111","new",0.761455696202532,"TTR",0.7270597,"Expt 1"
"11111","new",0.754430379746835,"TTR",0.7270597,"Expt 1"
"111111","new",0.779683544303797,"TTR",0.7270597,"Expt 1"
"2","new",0.329050632911392,"TTR",0.36352985,"Expt 1"
"21","new",0.464746835443038,"TTR",0.484706466666667,"Expt 1"
"211","new",0.547848101265823,"TTR",0.545294775,"Expt 1"
"2111","new",0.607215189873418,"TTR",0.58164776,"Expt 1"
"21111","new",0.643670886075949,"TTR",0.605883083333333,"Expt 1"
"22","new",0.374367088607595,"TTR",0.36352985,"Expt 1"
"221","new",0.419303797468354,"TTR",0.43623582,"Expt 1"
"2211","new",0.486898734177215,"TTR",0.484706466666667,"Expt 1"
"222","new",0.357151898734177,"TTR",0.36352985,"Expt 1"
"3","new",0.182784810126582,"TTR",0.242353233333333,"Expt 1"
"31","new",0.379113924050633,"TTR",0.36352985,"Expt 1"
"311","new",0.421012658227848,"TTR",0.43623582,"Expt 1"
"3111","new",0.504493670886076,"TTR",0.484706466666667,"Expt 1"
"32","new",0.323544303797468,"TTR",0.29082388,"Expt 1"
"321","new",0.396835443037975,"TTR",0.36352985,"Expt 1"
"33","new",0.272278481012658,"TTR",0.242353233333333,"Expt 1"
"4","new",0.154556962025316,"TTR",0.181764925,"Expt 1"
"41","new",0.295696202531646,"TTR",0.29082388,"Expt 1"
"411","new",0.375063291139241,"TTR",0.36352985,"Expt 1"
"42","new",0.274177215189873,"TTR",0.242353233333333,"Expt 1"
"5","new",0.129177215189873,"TTR",0.14541194,"Expt 1"
"51","new",0.258291139240506,"TTR",0.242353233333333,"Expt 1"
"6","new",0.108037974683544,"TTR",0.121176616666667,"Expt 1"
"1","new",0.59873417721519,"H-TTR",0.719590028933743,"Expt 1"
"11","new",0.665126582278481,"H-TTR",0.734485829894725,"Expt 1"
"111","new",0.742974683544304,"H-TTR",0.746915507009641,"Expt 1"
"1111","new",0.761455696202532,"H-TTR",0.747690018641529,"Expt 1"
"11111","new",0.754430379746835,"H-TTR",0.761519097464603,"Expt 1"
"111111","new",0.779683544303797,"H-TTR",0.770610527224526,"Expt 1"
"2","new",0.329050632911392,"H-TTR",0.346674391934649,"Expt 1"
"21","new",0.464746835443038,"H-TTR",0.465289388304934,"Expt 1"
"211","new",0.547848101265823,"H-TTR",0.542990421512815,"Expt 1"
"2111","new",0.607215189873418,"H-TTR",0.582045158697149,"Expt 1"
"21111","new",0.643670886075949,"H-TTR",0.609753528308451,"Expt 1"
"22","new",0.374367088607595,"H-TTR",0.341210547561572,"Expt 1"
"221","new",0.419303797468354,"H-TTR",0.416566892724261,"Expt 1"
"2211","new",0.486898734177215,"H-TTR",0.467627782411428,"Expt 1"
"222","new",0.357151898734177,"H-TTR",0.333665780202863,"Expt 1"
"3","new",0.182784810126582,"H-TTR",0.228392920599505,"Expt 1"
"31","new",0.379113924050633,"H-TTR",0.351746365379406,"Expt 1"
"311","new",0.421012658227848,"H-TTR",0.42807764088342,"Expt 1"
"3111","new",0.504493670886076,"H-TTR",0.478896249025776,"Expt 1"
"32","new",0.323544303797468,"H-TTR",0.268643582455117,"Expt 1"
"321","new",0.396835443037975,"H-TTR",0.343154338136575,"Expt 1"
"33","new",0.272278481012658,"H-TTR",0.222526666236738,"Expt 1"
"4","new",0.154556962025316,"H-TTR",0.171583964552386,"Expt 1"
"41","new",0.295696202531646,"H-TTR",0.277100725548093,"Expt 1"
"411","new",0.375063291139241,"H-TTR",0.350016655553545,"Expt 1"
"42","new",0.274177215189873,"H-TTR",0.223310035982162,"Expt 1"
"5","new",0.129177215189873,"H-TTR",0.137015811385274,"Expt 1"
"51","new",0.258291139240506,"H-TTR",0.232544775353469,"Expt 1"
"6","new",0.108037974683544,"H-TTR",0.112757005692511,"Expt 1"
"1","new",0.59873417721519,"uniform",0.434749017896115,"Expt 1"
"11","new",0.665126582278481,"uniform",0.434749017896115,"Expt 1"
"111","new",0.742974683544304,"uniform",0.434749017896115,"Expt 1"
"1111","new",0.761455696202532,"uniform",0.434749017896115,"Expt 1"
"11111","new",0.754430379746835,"uniform",0.434749017896115,"Expt 1"
"111111","new",0.779683544303797,"uniform",0.434749017896115,"Expt 1"
"2","new",0.329050632911392,"uniform",0.434749017896115,"Expt 1"
"21","new",0.464746835443038,"uniform",0.434749017896115,"Expt 1"
"211","new",0.547848101265823,"uniform",0.434749017896115,"Expt 1"
"2111","new",0.607215189873418,"uniform",0.434749017896115,"Expt 1"
"21111","new",0.643670886075949,"uniform",0.434749017896115,"Expt 1"
"22","new",0.374367088607595,"uniform",0.434749017896115,"Expt 1"
"221","new",0.419303797468354,"uniform",0.434749017896115,"Expt 1"
"2211","new",0.486898734177215,"uniform",0.434749017896115,"Expt 1"
"222","new",0.357151898734177,"uniform",0.434749017896115,"Expt 1"
"3","new",0.182784810126582,"uniform",0.434749017896115,"Expt 1"
"31","new",0.379113924050633,"uniform",0.434749017896115,"Expt 1"
"311","new",0.421012658227848,"uniform",0.434749017896115,"Expt 1"
"3111","new",0.504493670886076,"uniform",0.434749017896115,"Expt 1"
"32","new",0.323544303797468,"uniform",0.434749017896115,"Expt 1"
"321","new",0.396835443037975,"uniform",0.434749017896115,"Expt 1"
"33","new",0.272278481012658,"uniform",0.434749017896115,"Expt 1"
"4","new",0.154556962025316,"uniform",0.434749017896115,"Expt 1"
"41","new",0.295696202531646,"uniform",0.434749017896115,"Expt 1"
"411","new",0.375063291139241,"uniform",0.434749017896115,"Expt 1"
"42","new",0.274177215189873,"uniform",0.434749017896115,"Expt 1"
"5","new",0.129177215189873,"uniform",0.434749017896115,"Expt 1"
"51","new",0.258291139240506,"uniform",0.434749017896115,"Expt 1"
"6","new",0.108037974683544,"uniform",0.434749017896115,"Expt 1"
"11:1","new",0.159130434782609,"CRP",0.399178917909215,"Expt 2"
"10:2","new",0.176832298136646,"CRP",0.399178917909215,"Expt 2"
"9:3","new",0.173229813664596,"CRP",0.399178917909215,"Expt 2"
"8:4","new",0.204782608695652,"CRP",0.399178917909215,"Expt 2"
"7:5","new",0.155714285714286,"CRP",0.399178917909215,"Expt 2"
"6:6","new",0.142546583850932,"CRP",0.399178917909215,"Expt 2"
"10:1:1","new",0.266770186335404,"CRP",0.399178917909215,"Expt 2"
"8:2:2","new",0.262795031055901,"CRP",0.399178917909215,"Expt 2"
"6:3:3","new",0.242049689440994,"CRP",0.399178917909215,"Expt 2"
"5:5:2","new",0.24,"CRP",0.399178917909215,"Expt 2"
"4:4:4","new",0.213167701863354,"CRP",0.399178917909215,"Expt 2"
"9:1:1:1","new",0.361614906832298,"CRP",0.399178917909215,"Expt 2"
"6:2:2:2","new",0.350248447204969,"CRP",0.399178917909215,"Expt 2"
"5:5:1:1","new",0.340124223602485,"CRP",0.399178917909215,"Expt 2"
"4:4:2:2","new",0.310434782608696,"CRP",0.399178917909215,"Expt 2"
"3:3:3:3","new",0.24,"CRP",0.399178917909215,"Expt 2"
"8:1:1:1:1","new",0.435465838509317,"CRP",0.399178917909215,"Expt 2"
"4:2:2:2:2","new",0.37527950310559,"CRP",0.399178917909215,"Expt 2"
"3:3:2:2:2","new",0.350248447204969,"CRP",0.399178917909215,"Expt 2"
"7:1:1:1:1:1","new",0.501552795031056,"CRP",0.399178917909215,"Expt 2"
"4:4:1:1:1:1","new",0.507267080745342,"CRP",0.399178917909215,"Expt 2"
"3:3:3:1:1:1","new",0.482422360248447,"CRP",0.399178917909215,"Expt 2"
"2:2:2:2:2:2","new",0.409254658385093,"CRP",0.399178917909215,"Expt 2"
"6:1:1:1:1:1:1","new",0.569813664596273,"CRP",0.399178917909215,"Expt 2"
"2:2:2:2:2:1:1","new",0.51695652173913,"CRP",0.399178917909215,"Expt 2"
"5:1:1:1:1:1:1:1","new",0.637267080745342,"CRP",0.399178917909215,"Expt 2"
"3:3:1:1:1:1:1:1","new",0.631366459627329,"CRP",0.399178917909215,"Expt 2"
"2:2:2:2:1:1:1:1","new",0.60583850931677,"CRP",0.399178917909215,"Expt 2"
"4:1:1:1:1:1:1:1:1","new",0.716645962732919,"CRP",0.399178917909215,"Expt 2"
"2:2:2:1:1:1:1:1:1","new",0.693788819875776,"CRP",0.399178917909215,"Expt 2"
"3:1:1:1:1:1:1:1:1:1","new",0.743105590062112,"CRP",0.399178917909215,"Expt 2"
"2:2:1:1:1:1:1:1:1:1","new",0.758012422360248,"CRP",0.399178917909215,"Expt 2"
"11:1","new",0.159130434782609,"G-CRP",0.16999537927918,"Expt 2"
"10:2","new",0.176832298136646,"G-CRP",0.16999537927918,"Expt 2"
"9:3","new",0.173229813664596,"G-CRP",0.16999537927918,"Expt 2"
"8:4","new",0.204782608695652,"G-CRP",0.16999537927918,"Expt 2"
"7:5","new",0.155714285714286,"G-CRP",0.16999537927918,"Expt 2"
"6:6","new",0.142546583850932,"G-CRP",0.16999537927918,"Expt 2"
"10:1:1","new",0.266770186335404,"G-CRP",0.244830785438369,"Expt 2"
"8:2:2","new",0.262795031055901,"G-CRP",0.244830785438369,"Expt 2"
"6:3:3","new",0.242049689440994,"G-CRP",0.244830785438369,"Expt 2"
"5:5:2","new",0.24,"G-CRP",0.244830785438369,"Expt 2"
"4:4:4","new",0.213167701863354,"G-CRP",0.244830785438369,"Expt 2"
"9:1:1:1","new",0.361614906832298,"G-CRP",0.319666191597557,"Expt 2"
"6:2:2:2","new",0.350248447204969,"G-CRP",0.319666191597557,"Expt 2"
"5:5:1:1","new",0.340124223602485,"G-CRP",0.319666191597557,"Expt 2"
"4:4:2:2","new",0.310434782608696,"G-CRP",0.319666191597557,"Expt 2"
"3:3:3:3","new",0.24,"G-CRP",0.319666191597557,"Expt 2"
"8:1:1:1:1","new",0.435465838509317,"G-CRP",0.394501597756746,"Expt 2"
"4:2:2:2:2","new",0.37527950310559,"G-CRP",0.394501597756746,"Expt 2"
"3:3:2:2:2","new",0.350248447204969,"G-CRP",0.394501597756746,"Expt 2"
"7:1:1:1:1:1","new",0.501552795031056,"G-CRP",0.469337003915934,"Expt 2"
"4:4:1:1:1:1","new",0.507267080745342,"G-CRP",0.469337003915934,"Expt 2"
"3:3:3:1:1:1","new",0.482422360248447,"G-CRP",0.469337003915934,"Expt 2"
"2:2:2:2:2:2","new",0.409254658385093,"G-CRP",0.469337003915934,"Expt 2"
"6:1:1:1:1:1:1","new",0.569813664596273,"G-CRP",0.544172410075123,"Expt 2"
"2:2:2:2:2:1:1","new",0.51695652173913,"G-CRP",0.544172410075123,"Expt 2"
"5:1:1:1:1:1:1:1","new",0.637267080745342,"G-CRP",0.619007816234311,"Expt 2"
"3:3:1:1:1:1:1:1","new",0.631366459627329,"G-CRP",0.619007816234311,"Expt 2"
"2:2:2:2:1:1:1:1","new",0.60583850931677,"G-CRP",0.619007816234311,"Expt 2"
"4:1:1:1:1:1:1:1:1","new",0.716645962732919,"G-CRP",0.693843222393499,"Expt 2"
"2:2:2:1:1:1:1:1:1","new",0.693788819875776,"G-CRP",0.693843222393499,"Expt 2"
"3:1:1:1:1:1:1:1:1:1","new",0.743105590062112,"G-CRP",0.768678628552688,"Expt 2"
"2:2:1:1:1:1:1:1:1:1","new",0.758012422360248,"G-CRP",0.768678628552688,"Expt 2"
"11:1","new",0.159130434782609,"H-CRP",0.0674721759307327,"Expt 2"
"10:2","new",0.176832298136646,"H-CRP",0.0698589114002758,"Expt 2"
"9:3","new",0.173229813664596,"H-CRP",0.0747916550758253,"Expt 2"
"8:4","new",0.204782608695652,"H-CRP",0.0676611706953913,"Expt 2"
"7:5","new",0.155714285714286,"H-CRP",0.0649815598022361,"Expt 2"
"6:6","new",0.142546583850932,"H-CRP",0.0630664838863875,"Expt 2"
"10:1:1","new",0.266770186335404,"H-CRP",0.114564084582577,"Expt 2"
"8:2:2","new",0.262795031055901,"H-CRP",0.114356026201267,"Expt 2"
"6:3:3","new",0.242049689440994,"H-CRP",0.105970489810238,"Expt 2"
"5:5:2","new",0.24,"H-CRP",0.109793234141901,"Expt 2"
"4:4:4","new",0.213167701863354,"H-CRP",0.115672136277613,"Expt 2"
"9:1:1:1","new",0.361614906832298,"H-CRP",0.1653101588364,"Expt 2"
"6:2:2:2","new",0.350248447204969,"H-CRP",0.164601272999495,"Expt 2"
"5:5:1:1","new",0.340124223602485,"H-CRP",0.162464059796222,"Expt 2"
"4:4:2:2","new",0.310434782608696,"H-CRP",0.1692246513309,"Expt 2"
"3:3:3:3","new",0.24,"H-CRP",0.172072709074532,"Expt 2"
"8:1:1:1:1","new",0.435465838509317,"H-CRP",0.219972224616833,"Expt 2"
"4:2:2:2:2","new",0.37527950310559,"H-CRP",0.222948529914524,"Expt 2"
"3:3:2:2:2","new",0.350248447204969,"H-CRP",0.233901275933866,"Expt 2"
"7:1:1:1:1:1","new",0.501552795031056,"H-CRP",0.286225032194929,"Expt 2"
"4:4:1:1:1:1","new",0.507267080745342,"H-CRP",0.291641997322338,"Expt 2"
"3:3:3:1:1:1","new",0.482422360248447,"H-CRP",0.288542562633606,"Expt 2"
"2:2:2:2:2:2","new",0.409254658385093,"H-CRP",0.29644955447779,"Expt 2"
"6:1:1:1:1:1:1","new",0.569813664596273,"H-CRP",0.364637576803973,"Expt 2"
"2:2:2:2:2:1:1","new",0.51695652173913,"H-CRP",0.359221789581782,"Expt 2"
"5:1:1:1:1:1:1:1","new",0.637267080745342,"H-CRP",0.451752335139216,"Expt 2"
"3:3:1:1:1:1:1:1","new",0.631366459627329,"H-CRP",0.4497880039684,"Expt 2"
